,Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,links,oni,flag
337,1978-02-01,0.5650570449339917,23.34879454926625,24.57774007846732,0.8466435322209247,7.800480899526988e-05,37.56341719077568,0.012050566814105322,14.1979821802935,89099,0.42,0
338,1978-03-01,0.5650355618230463,23.60587002096436,38.44270645746812,0.8464771156889546,7.913960235631095e-05,35.11189727463312,0.011300323279081231,14.274371069182392,90080,0.06,0
339,1978-04-01,0.5660485063590653,23.33176100628931,20.798323970662533,0.8506888893378829,7.778300459170713e-05,36.49698637316562,0.015860886415581553,14.17046645702306,89034,-0.18,0
340,1978-05-01,0.5664277724227387,23.303721174004192,22.89873363558716,0.8467853482256938,7.765389075477133e-05,36.9026467505241,0.014138962352641156,14.250655136268346,88927,-0.31,0
341,1978-06-01,0.5668013362615003,23.446278825995808,20.625565180589927,0.852233834475341,7.889424618682657e-05,35.48663522012578,0.012979588424875677,14.329795597484276,89471,-0.29,0
342,1978-07-01,0.5689474320742135,23.828616352201262,21.1411244737962,0.8579112884373119,8.187684681624614e-05,31.19365828092243,0.011546297215859204,14.597353249475892,90930,-0.36,0
343,1978-08-01,0.5695210799106699,24.434486373165623,19.50461749588666,0.8537614386562974,8.807277405897511e-05,33.212133123689725,0.01296910458477708,14.799135220125786,93242,-0.42,0
344,1978-09-01,0.5713595167627172,24.895702306079663,16.193285992504922,0.8473083141220389,9.592327974436191e-05,31.73008385744235,0.01339112781135748,15.181079664570232,95002,-0.42,0
345,1978-10-01,0.5777190498615367,25.125,39.96931239040139,0.8506106110897966,0.00010107790979000025,29.95925052410901,0.013881857035107264,15.312631027253671,95877,-0.29,0
346,1978-11-01,0.5899749251251094,25.34433962264151,44.950352844666746,0.8496361232678336,0.00010255211419928754,32.48807651991614,0.014531787387955285,15.457154088050315,96714,-0.08,0
347,1978-12-01,0.5821674682328676,25.12604821802935,31.243000661815554,0.8497237083714675,9.524205017438658e-05,32.847615303983225,0.013033404594450987,15.351153039832285,95881,0.0,0
348,1979-01-01,0.5696618433320658,24.2583857442348,43.12346953436922,0.8591791979440238,8.515808415686042e-05,31.90068134171908,0.008752052974535475,14.800576519916143,92570,0.03,0
349,1979-02-01,0.5725130453179431,24.561058700209642,23.219059367519716,0.8463603153923641,8.652216611716868e-05,31.66745283018868,0.0110781001766076,14.944444444444445,93725,0.07,0
350,1979-03-01,0.5697768379504978,24.07599580712788,29.87177062720279,0.8541680810513512,8.30873661761635e-05,37.18907232704402,0.009729357879120245,14.737290356394132,91874,0.2,0
351,1979-04-01,0.5712540200123865,24.00550314465409,29.88113494636107,0.8499598631100178,8.294780817621249e-05,33.25904088050314,0.0073523501187766046,14.693003144654089,91605,0.28,0
352,1979-05-01,0.5747784506682281,24.20649895178197,29.75128685212337,0.8534273705865837,8.43508385516164e-05,33.162866876310275,0.00803045674287831,14.842636268343814,92372,0.23,0
353,1979-06-01,0.5756944974806095,24.366090146750523,25.316410230311266,0.8500822515663479,8.504511043236934e-05,33.666666666666664,0.0083547027309112,14.882730607966455,92981,0.05,0
354,1979-07-01,0.5742161145244212,24.303721174004192,26.527553704175318,0.8480674443831381,8.440146389346664e-05,35.446933962264154,0.007963299479330558,14.883778825995805,92743,0.04,0
355,1979-08-01,0.5697842312313549,23.972222222222218,26.420523170824513,0.8567847535290856,8.183739152181381e-05,35.14897798742138,0.010136120359596029,14.690120545073375,91478,0.17,0
356,1979-09-01,0.5674015955617707,23.722222222222218,28.958303422512227,0.8529057686355503,8.054082808877852e-05,36.74213836477988,0.01041299200648014,14.506551362683439,90524,0.33,0
357,1979-10-01,0.5713798378253984,24.100366876310268,28.921758271389432,0.8516899628383723,8.377380789621348e-05,37.37696540880504,0.010067605222214787,14.722877358490566,91967,0.45,0
358,1979-11-01,0.5709874076541851,24.09591194968553,28.434103713831945,0.8525021294702044,8.475744007113027e-05,36.018081761006286,0.01004702418655278,14.636137316561847,91950,0.52,1
359,1979-12-01,0.5706291868231684,24.101153039832287,30.222636269030627,0.8504741819538778,8.409959423940216e-05,35.31433438155136,0.009672268294403477,14.693134171907756,91970,0.64,1
360,1980-01-01,0.5712861350667257,24.43658280922432,28.08847150415647,0.8450284340432261,8.578158301746147e-05,35.31512054507338,0.008903974806189437,14.842767295597485,93250,0.59,1
361,1980-02-01,0.568101859758564,24.207023060796647,27.986961938325607,0.8510520498442107,8.36000008667511e-05,35.088312368972744,0.00829179847579047,14.800314465408805,92374,0.46,0
362,1980-03-01,0.5673895688275942,23.989517819706503,30.07626668721619,0.8489521676460587,8.206669601202615e-05,35.019523060796644,0.007542132669767662,14.618972746331234,91544,0.34,0
363,1980-04-01,0.5673927158583719,24.02908805031447,28.14184817143578,0.8521244882918745,8.19384682626746e-05,34.842505241090144,0.010555322930191131,14.557389937106919,91695,0.38,0
364,1980-05-01,0.5669607075196735,24.107966457023057,44.09776394805806,0.853773425517581,8.222969357727183e-05,34.392295597484285,0.00976294977605897,14.649109014675052,91996,0.48,0
365,1980-06-01,0.5674972237165826,23.9874213836478,24.39586137258183,0.8460527815450759,8.141481685333255e-05,35.25576519916142,0.009569272356378769,14.591719077568134,91536,0.46,0
366,1980-07-01,0.5673997380029807,23.823375262054512,42.25365516415306,0.8479189116204754,8.059813332412423e-05,34.80503144654088,0.0112230229568356,14.471698113207545,90910,0.25,0
367,1980-08-01,0.567978634719129,24.02201257861635,24.290000039835306,0.8455675345242308,8.18793893029482e-05,35.20125786163522,0.01091946770364273,14.588181341719078,91668,0.03,0
368,1980-09-01,0.569196837952099,24.506027253668762,30.5666200524892,0.8519923696651104,8.613611624724012e-05,36.116745283018865,0.009078863624346406,14.754979035639415,93515,-0.07,0
369,1980-10-01,0.5679117941401556,24.392033542976943,26.390304106855325,0.8524870926285465,8.427416753174248e-05,36.14150943396226,0.00979620004145152,14.695623689727464,93080,0.02,0
370,1980-11-01,0.5666808476155747,24.558700209643607,25.971262843795873,0.8499336995056067,8.543956694524831e-05,35.08438155136268,0.010877099200326285,14.857180293501045,93716,0.11,0
371,1980-12-01,0.5627202879981557,24.209381551362682,22.659026460808786,0.8529174674062584,8.310520245889662e-05,32.86805555555556,0.011650990237665209,14.626441299790356,92383,-0.01,0
372,1981-01-01,0.5605403162444228,23.61792452830189,23.066747044700985,0.8456511310235842,7.913619145162812e-05,33.771750524109024,0.01164484516754978,14.293632075471699,90126,-0.26,0
373,1981-02-01,0.5607579666138633,23.36975890985325,27.00129639886077,0.8456621722643181,7.814379776924747e-05,34.10573899371069,0.01163869587308459,14.171121593291405,89179,-0.5,0
374,1981-03-01,0.5619767979484018,23.537735849056602,25.90008992477171,0.8508629688556462,7.890468155344393e-05,34.493317610062896,0.011985290106720855,14.280005241090144,89820,-0.47,0
375,1981-04-01,0.561568404575085,23.31210691823899,30.06344847522807,0.8475932982055246,7.773284438029552e-05,35.068265199161424,0.012017993503302132,14.147667714884696,88959,-0.37,0
376,1981-05-01,0.5613205520768061,23.20466457023061,25.67586797013286,0.8424587103784381,7.777295433428304e-05,37.06158280922432,0.01233139251565889,14.047693920335428,88549,-0.26,0
377,1981-06-01,0.5615853586165697,23.12395178197065,27.92679881136938,0.8481716018441854,7.782264962994225e-05,34.018081761006286,0.012403334302547258,13.999606918238996,88241,-0.29,0
378,1981-07-01,0.5630497756738616,23.11294549266247,28.144334100643768,0.8454170972010796,7.786662104494228e-05,34.88430293501048,0.011652647180651184,13.999344863731654,88199,-0.3,0
379,1981-08-01,0.5639787794778351,23.19365828092243,26.942864219020567,0.8540275052601267,7.777331900055647e-05,36.72209119496856,0.013233144108147386,14.008909853249474,88507,-0.25,0
380,1981-09-01,0.5627826826310299,22.93736897274633,40.99241405257766,0.8505953906340316,7.619992600302036e-05,36.80673480083858,0.01163797524544872,13.967898322851156,87529,-0.16,0
381,1981-10-01,0.5627180334323003,22.91509433962264,28.912488286359267,0.8502064268062484,7.599529795610709e-05,36.41325995807128,0.011737402992376236,13.929376310272536,87444,-0.13,0
382,1981-11-01,0.5630519864916872,23.12159329140461,42.828208280688905,0.8522099709602637,7.689727171107458e-05,39.10521488469602,0.012482343527173641,14.042321802935009,88232,-0.15,0
